ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Candidatus	59
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Lentisphaerota	34
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Spirochaetota	7061
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Fusobacteriota	3982
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Myxococcota	3254
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Synergistota	2399
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Acidobacteriota	1819
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Candidatus	1199
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Candidatus	99
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Candidatus	57
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Candidatus	4
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Thermotogota	1137
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Bdellovibrionota	657
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Deferribacterota	622
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Nitrospirota	385
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Aquificota	244
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Elusimicrobiota	175
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Atribacterota	135
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Nitrospinota	128
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Calditrichota	74
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Dictyoglomota	64
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Chrysiogenota	53
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Caldisericota	14
ERR1995212_mpa_pylum.mpa	d__Bacteria|p__Coprothermobacterota	8
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Bacteroidota	25932380
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Chlorobiota	516
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Rhodothermota	147
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Ignavibacteriota	34
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Balneolota	31
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Fibrobacterota	114
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Gemmatimonadota	103
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	21
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Bacillota	5931944
